region,icao,station_id,station_name,state,lat,lon,elev_m,isd_begin,isd_end
PJM/PN,KJST,72512704726,J MURTHA JTWN-CMBRA CO APT,PA,40.315,-78.831,693.9,19730101,20250827
PJM/PN,KERI,72526014860,ERIE INTL/T. RIDGE FIELD AIRPORT,PA,42.08,-80.182,222.2,19730101,20250827
PJM/PS,KEWR,72502014734,NEWARK LIBERTY INTERNATIONAL AP,NJ,40.683,-74.169,2.0,19730101,20250825
SWPP/CSWS,KTUL,72356013968,TULSA INTERNATIONAL AIRPORT,OK,36.199,-95.878,194.9,19470101,20250827
SWPP/CSWS,KSHV,72248013957,SHREVEPORT REGIONAL AIRPORT,LA,32.447,-93.824,69.6,19730101,20250827
SWPP/EDE,KJLN,72349513987,JOPLIN REGIONAL AIRPORT,MO,37.152,-94.495,296.4,19730101,20250827
SWPP/GRDA,KTUL,72356013968,TULSA INTERNATIONAL AIRPORT,OK,36.199,-95.878,194.9,19470101,20250827
SWPP/KCPL,KMCI,72446003947,KANSAS CITY INTERNATIONAL AIRPORT,MO,39.297,-94.731,307.4,19730101,20250827
SWPP/MPS,KSTJ,72449013993,ROSECRANS MEMORIAL AIRPORT,MO,39.768,-94.91,246.1,19440301,20250827
SWPP/NPPD,KLNK,72551014939,LINCOLN MUNICIPAL AIRPORT,NE,40.848,-96.765,356.7,19421001,20250827
SWPP/NPPD,KGRI,72552014935,CENTRAL NEBRASKA REGIONAL AIRPORT,NE,40.961,-98.313,561.7,19440301,20250827
SWPP/OKGE,KOKC,72353013967,WILL ROGERS WORLD AIRPORT,OK,35.388,-97.6,389.9,19411214,20250827
SWPP/OPPD,KOMA,72550014942,EPPLEY AIRFIELD AIRPORT,NE,41.312,-95.902,298.8,19740419,20250827
SWPP/SECI,KGCK,72451523064,GARDEN CITY REGIONAL ARPT,KS,37.922,-100.724,877.1,19430201,20250827
SWPP/SECI,KHYS,72451803968,HAYS REGIONAL AIRPORT,KS,38.85,-99.267,609.0,20060101,20250826
SWPP/SPS,KAMA,72363023047,AMARILLO RICK HUSBAND INTL AIRPORT,TX,35.22,-101.717,1099.3,19430301,20250827
SWPP/SPS,KLBB,72267023042,LUBBOCK INTERNATIONAL AIRPORT,TX,33.666,-101.823,993.2,19450810,20250827
SWPP/WAUE,KFAR,72753014914,HECTOR INTERNATIONAL AIRPORT,ND,46.924,-96.812,272.8,19480101,20250827
SWPP/WAUE,KFSD,72651014944,JOE FOSS FIELD AIRPORT,SD,43.578,-96.754,432.4,19421001,20250827
SWPP/WFEC,KLAW,72357503950,LAWTON-FORT SILL RGNL ARPT,OK,34.558,-98.417,326.0,20050101,20250827
SWPP/WR,KICT,72450003928,WICHITA EISENHOWER NATIONAL,KS,37.648,-97.43,401.7,19730101,20250827
SWPP/WR,KTOP,72456013996,PHILIP BILLARD MUNICIPAL AIRPORT,KS,39.072,-95.626,268.1,19730101,20250827
PNM/PNM,KABQ,72365023050,ALBUQUERQUE INTL SUNPORT AIRPORT,NM,35.042,-106.615,1618.4,19410701,20250827
