region,y,model_prob,detector_rank,avg_mw_2025,model_rank,rank_gap
PJM/DAY,0,0.6023755192414078,72,2042.018693960228,38,34
CISO/SCE,0,0.5763554628020086,44,12278.3086006392,39,5
SWPP/NPPD,1,0.5393749176271476,28,2177.4928064493783,40,-12
PNM/PNM,1,0.535415127406183,11,1172.1027950115863,41,-30
SC,1,0.5280536667908946,9,3147.418546680301,42,-33
NYIS/ZONK,0,0.527195628385434,47,2277.44824667854,43,4
SWPP/CSWS,0,0.5270942004294815,99,5677.259828505666,44,55
PJM/PS,1,0.5251626587506995,53,4878.23330760938,45,8
SCEG,0,0.5121582430443952,103,2831.64031591198,46,57
MISO/0006,0,0.49617575615480225,95,10260.295015932945,47,48
AVA,0,0.48576015392656907,101,1486.8319216928776,48,53
MISO/0027,1,0.4655162862793942,96,18145.509164392013,49,47
PJM/PL,1,0.4644161090235709,41,4789.0407471023145,50,-9
BPAT,1,0.463607720011566,50,6976.446984124988,51,-1
NEVP,1,0.4528273434443918,75,4620.459931468138,52,23
SWPP/WR,0,0.442902871571519,102,3673.2790414969622,53,49
PJM/ME,0,0.43540304349837744,77,1790.350443157134,54,23
SOCO,1,0.42905719526403213,93,27553.20611704709,55,38
PJM/DUQ,0,0.4248766903730809,81,1495.2634136933325,56,25
ERCO/EAST,0,0.4120952771681775,62,1840.958612886101,57,5
ERCO/FWES,1,0.4105002017777572,2,7609.200028755651,58,-56
PJM/CE,1,0.40460863362586663,67,10949.545794329748,59,8
SWPP/WFEC,0,0.4015340415369072,104,1135.8780259232046,60,44
ERCO/SOUT,1,0.3849210737559689,14,4490.086432930254,61,-47
NYIS,1,0.3822459754287142,63,17304.761741274047,62,1
LGEE,0,0.3614778428352062,37,4422.54820161786,63,-26
MISO/0004,0,0.34773979660976606,97,4973.409654474109,64,33
CISO/SDGE,0,0.3241803382195509,10,2168.781849887278,65,-55
PJM/PEP,0,0.322444985257701,73,3296.6655526719937,66,7
BANC,0,0.31723838653611836,42,2003.8280267310993,67,-25
ERCO/NCEN,1,0.31281953939041407,91,15516.65209039826,68,23
DUK,1,0.3000434417692827,76,12535.009820230309,69,7
NYIS/ZONE,0,0.2962127193048738,17,834.3947022925206,70,-53
NYIS/ZONB,0,0.29094465686925536,36,1069.8052032875391,71,-35
SCL,0,0.28912289824878,78,1081.7273036263389,72,6
PJM/AP,0,0.2848721345398972,83,5792.008834498025,73,10
SWPP/KCPL,0,0.2621141248183473,88,1972.8508139016049,74,14
PJM/DEOK,1,0.2523157372124579,86,3053.914900385859,75,11
TVA,1,0.2512468615218978,60,19489.950984118408,76,-16
ISNE/4001,0,0.24163760401953152,33,1238.290639271073,77,-44
FPL,0,0.18861127457233506,24,16731.57147881989,78,-54
NYIS/ZONI,0,0.16629672841649257,40,667.6388274636964,79,-39
JEA,0,0.16124137435327113,64,1577.8554424447616,80,-16
SWPP/MPS,0,0.15146297140699208,87,1087.657304437244,81,6
LDWP,0,0.14796913624579972,84,2821.480271044412,82,2
PJM/PE,1,0.1425395587746075,90,4453.6975034393445,83,7
EPE,1,0.12868079385967485,79,1045.6663135393285,84,-5
CPLE,0,0.12356948494329816,74,7213.957355895467,85,-11
SWPP/EDE,0,0.09763051769547473,100,638.6815896857299,86,14
NYIS/ZONF,0,0.09625146453880473,26,1322.4715408097045,87,-61
TPWR,0,0.09450367665925959,105,518.2434311182019,88,17
PJM/AE,1,0.09068325654895991,92,1143.900511982842,89,3
ISNE/4003,0,0.07685457937501455,54,551.9715855167775,90,-36
PJM/EKPC,0,0.07389685988197649,43,1678.656446796117,91,-48
PACW,1,0.0719772130064686,98,2311.444918374308,92,6
FPC,0,0.07043698671155696,31,6637.175105248247,93,-62
PJM/DPL,0,0.06785936696189644,68,2122.964606270586,94,-26
ISNE/4007,0,0.06551239719904295,69,1823.167808217181,95,-26
PJM/BC,0,0.06107443209830192,71,3484.393079892661,96,-25
FMPP,0,0.05718473199740235,49,2191.42324039736,97,-48
PSEI,0,0.053792536508806464,110,2838.398972604318,98,12
ISNE,0,0.05321356856786469,66,13159.635350235738,99,-33
ISNE/4008,0,0.04959478978869121,61,2710.0316210047554,100,-39
ERCO/WEST,1,0.042271701220161315,111,1443.6036171982566,101,10
TEC,0,0.04211932322065354,55,2553.9622475097976,102,-47
NYIS/ZONG,0,0.04134120126037073,20,1085.3452426383444,103,-83
AECI,0,0.033189102784525554,109,2547.8526787887604,104,5
PJM/JC,0,0.031815322534827495,34,2538.984447546202,105,-71
NYIS/ZONC,1,0.0289382875936816,32,1684.314478658184,106,-74
ISNE/4005,0,0.022612628105573802,57,877.1629013148913,107,-50
ISNE/4004,0,0.01864064071189574,70,3084.310535750814,108,-38
ISNE/4002,0,0.017105719605060403,45,1319.142922374524,109,-64
ISNE/4006,0,0.015431991481605314,38,1593.52933790065,110,-72
CPLW,0,0.011259371558907301,106,552.1239860359541,111,-5
